plant,success,duration_s,error_m,error_x,error_y,experiment_type,imu_enabled,param_n,predetermined_list,is_realtime_target,realtime_trigger_id
1,1,3.194,0.169,-0.148,0.080,1,1,-1,"",0,-1
2,1,3.511,0.169,-0.126,0.112,1,1,-1,"",0,-1
3,1,3.441,0.177,-0.154,0.088,1,1,-1,"",0,-1
4,1,3.541,0.193,-0.093,0.169,1,1,-1,"",0,-1
5,1,2.811,0.188,-0.178,0.059,1,1,-1,"",0,-1
10,1,66.671,0.143,0.101,0.101,1,1,-1,"",0,-1
9,1,84.121,0.172,-0.124,0.119,1,1,-1,"",0,-1
8,1,2.611,0.201,0.160,0.122,1,1,-1,"",0,-1
7,1,3.341,0.199,0.131,0.150,1,1,-1,"",0,-1
6,1,3.211,0.203,0.120,0.165,1,1,-1,"",0,-1
11,1,16.481,0.198,-0.037,0.195,1,1,-1,"",0,-1
12,1,2.641,0.193,-0.128,0.143,1,1,-1,"",0,-1
13,1,3.161,0.198,-0.122,0.157,1,1,-1,"",0,-1
14,1,3.771,0.196,-0.073,0.182,1,1,-1,"",0,-1
15,1,2.871,0.188,-0.151,0.112,1,1,-1,"",0,-1
