plant,success,duration_s,error_m,error_x,error_y,experiment_type,imu_enabled,param_n,predetermined_list,is_realtime_target,realtime_trigger_id
1,1,2.662,0.200,-0.180,0.086,1,1,-1,"",0,-1
2,1,8.271,0.175,-0.071,0.160,1,1,-1,"",0,-1
3,1,2.981,0.197,-0.166,0.105,1,1,-1,"",0,-1
4,1,78.721,0.176,-0.061,0.165,1,1,-1,"",0,-1
5,1,2.871,0.203,-0.193,0.063,1,1,-1,"",0,-1
10,1,12.071,0.189,0.016,0.188,1,1,-1,"",0,-1
9,1,2.671,0.189,0.152,0.113,1,1,-1,"",0,-1
8,1,4.841,0.185,0.182,0.030,1,1,-1,"",0,-1
7,1,105.111,0.156,-0.073,0.138,1,1,-1,"",0,-1
6,1,2.741,0.199,0.159,0.120,1,1,-1,"",0,-1
11,1,14.171,0.177,-0.090,0.153,1,1,-1,"",0,-1
12,1,3.201,0.200,-0.157,0.123,1,1,-1,"",0,-1
13,1,4.441,0.199,-0.105,0.169,1,1,-1,"",0,-1
14,1,3.111,0.182,-0.115,0.141,1,1,-1,"",0,-1
15,1,3.231,0.189,-0.150,0.115,1,1,-1,"",0,-1
